procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3560716  21648 3678900    0    0    13   169    6   17  0  0 100  0  0
 0  0      0 3560972  21648 3678900    0    0     0     0   71  226  0  0 100  0  0
 0  0      0 3560720  21648 3678900    0    0     0     0   95  277  0  0 100  0  0
 4  0      0 3560216  21648 3678916    0    0    20     0  128  297  6  0 93  0  0
 4  0      0 3560216  21648 3678916    0    0     0     0  171  227 20  0 80  0  0
 4  0      0 3560216  21648 3678916    0    0     0     0  179  257 20  0 80  0  0
 4  0      0 3560488  21648 3678916    0    0     0     0  182  256 20  0 80  0  0
 4  0      0 3560488  21648 3678916    0    0     0     0  169  233 20  0 80  0  0
 4  0      0 3560236  21648 3678916    0    0     0     0  169  225 20  0 80  0  0
 3  0      0 3560236  21656 3678908    0    0     0    24  178  253 19  0 81  0  0
 1  0      0 3560236  21656 3678908    0    0     0     4  129  246  8  0 92  0  0
 0  0      0 3560236  21656 3678920    0    0     0     0   69  218  0  0 100  0  0
 0  0      0 3560236  21656 3678920    0    0     0     0   68  228  0  0 100  0  0
 0  0      0 3560236  21656 3678920    0    0     0    12   73  240  0  0 100  0  0
